,,,,Low Limit,High Limit
Test Suite,Test,Test Number,Test Text,default,default,Unit,Soft Bin
PRB1_MAIN.program_ckbd,program_ckbd,1000,program_ckbd_PGM_CKBD,0,0,,1100
PRB1_MAIN.margin_read1_ckbd,margin_read1_ckbd,1010,,0,0,,
PRB1_MAIN.margin_read0_ckbd,margin_read0_ckbd,1030,,0,0,,
PRB1_MAIN.ERASE.erase_all,erase_all,2000,,0,0,,
PRB1_MAIN.ERASE.erase_all_1,erase_all_1,2010,,0,0,,
PRB1_MAIN.ERASE.erase_all_2,erase_all_2,2030,,0,0,,
PRB1_MAIN.ERASE.erase_all_3,erase_all_3,2060,,0,0,,
PRB1_MAIN.ERASE.erase_all_4,erase_all_4,2100,,0,0,,
PRB1_MAIN.ERASE.erase_all_5,erase_all_5,2150,,0,0,,
PRB1_MAIN.ERASE.ERASE_VFY.margin_read1_all1,margin_read1_all1,2210,,0,0,,
PRB1_MAIN.program_ckbd_1,program_ckbd_1,3000,,0,0,,
PRB1_MAIN.program_ckbd_2,program_ckbd_2,3010,,0,0,,
PRB1_MAIN.program_ckbd_3,program_ckbd_3,3020,,0,0,,
PRB1_MAIN.program_ckbd_4,program_ckbd_4,3030,,0,0,,
PRB1_MAIN.program_ckbd_5,program_ckbd_5,3040,,0,0,,
PRB1_MAIN.program_ckbd_6,program_ckbd_6,3041,,0,0,,
PRB1_MAIN.program_ckbd_7,program_ckbd_7,3042,,0,0,,
PRB1_MAIN.program_ckbd_8,program_ckbd_8,3050,,0,0,,
PRB1_MAIN.program_ckbd_9,program_ckbd_9,3051,,0,0,,
PRB1_MAIN.program_ckbd_10,program_ckbd_10,3052,,0,0,,
PRB1_MAIN.program_ckbd_11,program_ckbd_11,3060,,0,0,,
PRB1_MAIN.program_ckbd_12,program_ckbd_12,3061,,0,0,,
PRB1_MAIN.program_ckbd_13,program_ckbd_13,3062,,0,0,,
PRB1_MAIN.program_ckbd_14,program_ckbd_14,3070,,0,0,,
PRB1_MAIN.program_ckbd_15,program_ckbd_15,3071,,0,0,,
PRB1_MAIN.program_ckbd_16,program_ckbd_16,3072,,0,0,,
PRB1_MAIN.p1_only_test,p1_only_test,3080,,0,0,,
